Larose Red Blend 2019,"₩286,618",4.7,"['width: 15%; left: 66.7221%;', 'width: 15%; left: 58.5902%;', 'width: 15%; left: 7.71501%;', 'width: 15%; left: 62.9565%;']"
Elevage 2000,"₩360,000",4.7,"['width: 15%; left: 84.3588%;', 'width: 15%; left: 52.4871%;', 'width: 15%; left: 4.70766%;', 'width: 15%; left: 61.9616%;']"
Spring Mountain Cabernet Sauvignon 2011,"₩500,000",4.7,"['width: 15%; left: 85%;', 'width: 15%; left: 55.7497%;', 'width: 15%; left: 3.97318%;', 'width: 15%; left: 55.6561%;']"
Spring Mountain Cabernet Sauvignon 2016,"₩500,000",4.6,"['width: 15%; left: 85%;', 'width: 15%; left: 55.7497%;', 'width: 15%; left: 3.97318%;', 'width: 15%; left: 55.6561%;']"
Kai Carmenère 2008,"₩500,000",4.6,"['width: 15%; left: 74.4108%;', 'width: 15%; left: 35.6963%;', 'width: 15%; left: 16.098%;', 'width: 15%; left: 45.685%;']"
Aconcagua Valley 2003,"₩800,000",4.6,"['width: 15%; left: 81.3395%;', 'width: 15%; left: 56.1757%;', 'width: 15%; left: 15.1144%;', 'width: 15%; left: 45.5721%;']"
Luis Pereira 2012,"₩206,221",4.6,"['width: 15%; left: 69.7862%;', 'width: 15%; left: 31.5572%;', 'width: 15%; left: 11.0478%;', 'width: 15%; left: 34.7152%;']"
Torre Muga 2000,"₩115,999",4.6,"['width: 15%; left: 66.8952%;', 'width: 15%; left: 65.3784%;', 'width: 15%; left: 11.2801%;', 'width: 15%; left: 62.0623%;']"
Aro 2001,"₩236,295",4.6,"['width: 15%; left: 67.8035%;', 'width: 15%; left: 65.5414%;', 'width: 15%; left: 13.3259%;', 'width: 15%; left: 62.927%;']"
Cabernet Sauvignon 2002,"₩360,000",4.6,"['width: 15%; left: 85%;', 'width: 15%; left: 50.9095%;', 'width: 15%; left: 3.83706%;', 'width: 15%; left: 52.6463%;']"
Ironheart Shiraz 2017,"₩300,000",4.6,"['width: 15%; left: 84.7161%;', 'width: 15%; left: 46.5777%;', 'width: 15%; left: 22.5989%;', 'width: 15%; left: 43.4415%;']"
Spring Mountain Cabernet Sauvignon 2014,"₩500,000",4.6,"['width: 15%; left: 85%;', 'width: 15%; left: 55.7497%;', 'width: 15%; left: 3.97318%;', 'width: 15%; left: 55.6561%;']"
Altura 2008,"₩223,406",4.6,"['width: 15%; left: 76.0263%;', 'width: 15%; left: 53.5519%;', 'width: 15%; left: 11.0432%;', 'width: 15%; left: 44.7997%;']"
Spring Mountain Cabernet Sauvignon 2013,"₩500,000",4.6,"['width: 15%; left: 85%;', 'width: 15%; left: 55.7497%;', 'width: 15%; left: 3.97318%;', 'width: 15%; left: 55.6561%;']"
Spring Mountain Cabernet Sauvignon 2012,"₩500,000",4.6,"['width: 15%; left: 85%;', 'width: 15%; left: 55.7497%;', 'width: 15%; left: 3.97318%;', 'width: 15%; left: 55.6561%;']"
Brunello di Montalcino 2013,"₩360,000",4.6,"['width: 15%; left: 42.6082%;', 'width: 15%; left: 55.2566%;', 'width: 15%; left: 6.7288%;', 'width: 15%; left: 62.8808%;']"
Cabernet Sauvignon 2015,"₩360,000",4.5,"['width: 15%; left: 85%;', 'width: 15%; left: 50.9095%;', 'width: 15%; left: 3.83706%;', 'width: 15%; left: 52.6463%;']"
Folly Syrah 2005,"₩137,481",4.5,"['width: 15%; left: 85%;', 'width: 15%; left: 42.1836%;', 'width: 15%; left: 15.4088%;', 'width: 15%; left: 25.6535%;']"
FAY Cabernet Sauvignon 2006,"₩231,998",4.5,"['width: 15%; left: 83.377%;', 'width: 15%; left: 49.0371%;', 'width: 15%; left: 8.33549%;', 'width: 15%; left: 50.9768%;']"
Kai Carmenère 2014,"₩500,000",4.5,"['width: 15%; left: 74.4108%;', 'width: 15%; left: 35.6963%;', 'width: 15%; left: 16.098%;', 'width: 15%; left: 45.685%;']"
Kai Carmenère 2009,"₩500,000",4.5,"['width: 15%; left: 74.4108%;', 'width: 15%; left: 35.6963%;', 'width: 15%; left: 16.098%;', 'width: 15%; left: 45.685%;']"
Malleolus de Valderramiro 2008,"₩259,924",4.5,"['width: 15%; left: 67.6071%;', 'width: 15%; left: 57.3492%;', 'width: 15%; left: 14.1461%;', 'width: 15%; left: 60.079%;']"
Bosché Vineyard Cabernet Sauvignon 2013,"₩400,000",4.5,"['width: 15%; left: 85%;', 'width: 15%; left: 53.9251%;', 'width: 15%; left: 5.42599%;', 'width: 15%; left: 52.7093%;']"
Reserve Cabernet Sauvignon 2014,"₩300,000",4.5,"['width: 15%; left: 85%;', 'width: 15%; left: 52.6514%;', 'width: 15%; left: 12.4767%;', 'width: 15%; left: 50.5191%;']"
Nico Malbec 2010,"₩193,332",4.5,"['width: 15%; left: 70.0173%;', 'width: 15%; left: 42.2422%;', 'width: 15%; left: 20.1787%;', 'width: 15%; left: 37.4179%;']"
En Chamberlin Vineyard Syrah 2008,"₩380,000",4.5,"['width: 15%; left: 66.9627%;', 'width: 15%; left: 56.3738%;', 'width: 15%; left: 10.7159%;', 'width: 15%; left: 54.7746%;']"
Lupi e Sirene Riserva 2008,"₩350,000",4.5,"['width: 15%; left: 50.4839%;', 'width: 15%; left: 59.1314%;', 'width: 15%; left: 9.29552%;', 'width: 15%; left: 63.112%;']"
Prado Enea Gran Reserva 1998,"₩81,629",4.5,"['width: 15%; left: 64.9719%;', 'width: 15%; left: 61.8225%;', 'width: 15%; left: 9.80284%;', 'width: 15%; left: 62.1707%;']"
Lupi e Sirene Riserva 2011,"₩350,000",4.5,"['width: 15%; left: 50.4839%;', 'width: 15%; left: 59.1314%;', 'width: 15%; left: 9.29552%;', 'width: 15%; left: 63.112%;']"
Lupi e Sirene Riserva 2010,"₩350,000",4.5,"['width: 15%; left: 50.4839%;', 'width: 15%; left: 59.1314%;', 'width: 15%; left: 9.29552%;', 'width: 15%; left: 63.112%;']"
Eileen Hardy Shiraz 2004,"₩250,000",4.5,"['width: 15%; left: 84.414%;', 'width: 15%; left: 45.9543%;', 'width: 15%; left: 18.2098%;', 'width: 15%; left: 41.7047%;']"
Profile 2001,"₩184,740",4.5,"['width: 15%; left: 85%;', 'width: 15%; left: 53.8928%;', 'width: 15%; left: 9.26666%;', 'width: 15%; left: 62.8977%;']"
Reserve Cabernet Sauvignon 2016,"₩300,000",4.5,"['width: 15%; left: 85%;', 'width: 15%; left: 52.6514%;', 'width: 15%; left: 12.4767%;', 'width: 15%; left: 50.5191%;']"
MPHS 2011,"₩214,813",4.5,"['width: 15%; left: 70.7796%;', 'width: 15%; left: 50.9403%;', 'width: 15%; left: 11.3589%;', 'width: 15%; left: 61.4721%;']"
Elevage 2016,"₩360,000",4.5,"['width: 15%; left: 84.3588%;', 'width: 15%; left: 52.4871%;', 'width: 15%; left: 4.70766%;', 'width: 15%; left: 61.9616%;']"
Cabernet Sauvignon 2014,"₩280,000",4.5,"['width: 15%; left: 85%;', 'width: 15%; left: 58.9159%;', 'width: 15%; left: 5.84461%;', 'width: 15%; left: 56.1837%;']"
Stone Cairn 2013,"₩94,518",4.5,"['width: 15%; left: 66.8577%;', 'width: 15%; left: 64.9763%;', 'width: 15%; left: 1.62428%;', 'width: 15%; left: 66.0143%;']"
En Chamberlin Vineyard Syrah 2007,"₩380,000",4.5,"['width: 15%; left: 66.9627%;', 'width: 15%; left: 56.3738%;', 'width: 15%; left: 10.7159%;', 'width: 15%; left: 54.7746%;']"
Chateau de Chassagne-Montrachet Rouge 2016,"₩120,000",4.5,"['width: 15%; left: 33.6632%;', 'width: 15%; left: 25.7002%;', 'width: 15%; left: 2.36635%;', 'width: 15%; left: 61.85%;']"
Bosché Vineyard Cabernet Sauvignon 2006,"₩400,000",4.5,"['width: 15%; left: 85%;', 'width: 15%; left: 53.9251%;', 'width: 15%; left: 5.42599%;', 'width: 15%; left: 52.7093%;']"
Brunello di Montalcino 2000,"₩107,407",4.5,"['width: 15%; left: 48.5695%;', 'width: 15%; left: 55.0516%;', 'width: 15%; left: 5.16855%;', 'width: 15%; left: 62.7063%;']"
Hercules 2014,"₩130,000",4.5,"['width: 15%; left: 77.5189%;', 'width: 15%; left: 46.0826%;', 'width: 15%; left: 31.1958%;', 'width: 15%; left: 44.6842%;']"
CASK 23 Cabernet Sauvignon 2006,"₩425,331",4.5,"['width: 15%; left: 84.1624%;', 'width: 15%; left: 50.8652%;', 'width: 15%; left: 7.89972%;', 'width: 15%; left: 51.5571%;']"
Cabernet Sauvignon 2012,"₩360,000",4.4,"['width: 15%; left: 85%;', 'width: 15%; left: 50.9095%;', 'width: 15%; left: 3.83706%;', 'width: 15%; left: 52.6463%;']"
Chateau Buena Vista Cabernet Sauvignon Napa Valley 2017,"₩150,000",4.4,"['width: 15%; left: 84.8861%;', 'width: 15%; left: 48.3968%;', 'width: 15%; left: 9.67962%;', 'width: 15%; left: 49.7524%;']"
Chateau Buena Vista Cabernet Sauvignon Napa Valley 2014,"₩150,000",4.4,"['width: 15%; left: 84.8861%;', 'width: 15%; left: 48.3968%;', 'width: 15%; left: 9.67962%;', 'width: 15%; left: 49.7524%;']"
Montes Alpha M Red 2006,"₩137,481",4.4,"['width: 15%; left: 84.8503%;', 'width: 15%; left: 57.1714%;', 'width: 15%; left: 11.5156%;', 'width: 15%; left: 42.2349%;']"
Altaïr 2004,"₩189,465",4.4,[]
Priorat 2007,"₩450,000",4.4,"['width: 15%; left: 83.6349%;', 'width: 15%; left: 50.8581%;', 'width: 15%; left: 14.5401%;', 'width: 15%; left: 53.3509%;']"
Cabernet Sauvignon 2016,"₩360,000",4.4,"['width: 15%; left: 85%;', 'width: 15%; left: 50.9095%;', 'width: 15%; left: 3.83706%;', 'width: 15%; left: 52.6463%;']"
Purple Angel 2006,"₩77,333",4.4,"['width: 15%; left: 83.5845%;', 'width: 15%; left: 45.8264%;', 'width: 15%; left: 11.7319%;', 'width: 15%; left: 43.7148%;']"
Sycamore Vineyard Cabernet Sauvignon 2012,"₩400,000",4.4,"['width: 15%; left: 85%;', 'width: 15%; left: 53.088%;', 'width: 15%; left: 7.04277%;', 'width: 15%; left: 52.1877%;']"
Cabernet Sauvignon 2006,"₩360,000",4.4,"['width: 15%; left: 85%;', 'width: 15%; left: 50.9095%;', 'width: 15%; left: 3.83706%;', 'width: 15%; left: 52.6463%;']"
Kai Carmenère 2011,"₩500,000",4.4,"['width: 15%; left: 74.4108%;', 'width: 15%; left: 35.6963%;', 'width: 15%; left: 16.098%;', 'width: 15%; left: 45.685%;']"
O.P.C Proprietary Red 2014,"₩200,000",4.4,"['width: 15%; left: 85%;', 'width: 15%; left: 51.1319%;', 'width: 15%; left: 7.4185%;', 'width: 15%; left: 63.4857%;']"
Rosso di Montalcino 2014,"₩220,000",4.4,"['width: 15%; left: 37.8512%;', 'width: 15%; left: 41.1867%;', 'width: 15%; left: 12.1232%;', 'width: 15%; left: 49.2884%;']"
Larose Red Blend 2014,"₩376,701",4.4,"['width: 15%; left: 66.7221%;', 'width: 15%; left: 58.5902%;', 'width: 15%; left: 7.71501%;', 'width: 15%; left: 62.9565%;']"
Elevage 2012,"₩360,000",4.4,"['width: 15%; left: 84.3588%;', 'width: 15%; left: 52.4871%;', 'width: 15%; left: 4.70766%;', 'width: 15%; left: 61.9616%;']"
Savitar Shiraz 2005,"₩120,296",4.4,"['width: 15%; left: 85%;', 'width: 15%; left: 46.6262%;', 'width: 15%; left: 24.4745%;', 'width: 15%; left: 43.8543%;']"
Land's Edge Vineyard Pinot Noir 2018,"₩240,000",4.4,"['width: 15%; left: 45.7917%;', 'width: 15%; left: 18.6584%;', 'width: 15%; left: 10.4417%;', 'width: 15%; left: 52.0183%;']"
Château Corton Grancey Grand Cru 2015,"₩450,000",4.4,"['width: 15%; left: 35.1283%;', 'width: 15%; left: 24.6136%;', 'width: 15%; left: 8.22892%;', 'width: 15%; left: 63.4418%;']"
Sycamore Vineyard Cabernet Sauvignon 2013,"₩400,000",4.4,"['width: 15%; left: 85%;', 'width: 15%; left: 53.088%;', 'width: 15%; left: 7.04277%;', 'width: 15%; left: 52.1877%;']"
Kai Carmenère 2012,"₩500,000",4.4,"['width: 15%; left: 74.4108%;', 'width: 15%; left: 35.6963%;', 'width: 15%; left: 16.098%;', 'width: 15%; left: 45.685%;']"
Culmen Reserva Rioja 2001,"₩163,258",4.4,"['width: 15%; left: 67.2056%;', 'width: 15%; left: 64.5757%;', 'width: 15%; left: 7.06575%;', 'width: 15%; left: 63.1487%;']"
Elevage 2014,"₩360,000",4.4,"['width: 15%; left: 84.3588%;', 'width: 15%; left: 52.4871%;', 'width: 15%; left: 4.70766%;', 'width: 15%; left: 61.9616%;']"
Bougainville Petite Sirah 2012,"₩122,873",4.4,[]
Reserve Cabernet Sauvignon 2013,"₩300,000",4.4,"['width: 15%; left: 85%;', 'width: 15%; left: 52.6514%;', 'width: 15%; left: 12.4767%;', 'width: 15%; left: 50.5191%;']"
Páva 2011,"₩231,139",4.4,"['width: 15%; left: 66.5357%;', 'width: 15%; left: 71.8526%;', 'width: 15%; left: 9.90799%;', 'width: 15%; left: 78.2471%;']"
